must match providers codes,The name of the data centre on the cloud platform,must match CI-aggregated$location,extra level of details after regionName,,,> 1,
provider,Name,location,Extra_details,location_freeForm,source_datacentre,PUE,source_PUE
gcp,us-west1,US-OR,,Oregon ,https://cloud.google.com/about/locations (29/09/2020),1.11,https://www.google.co.uk/about/datacenters/efficiency/ (29/09/2020)
gcp,us-west2,US-CA,Los Angeles,Los Angeles,https://cloud.google.com/about/locations (29/09/2020),,
gcp,us-west3,US-UT,Salt Lake City,Salt Lake City,https://cloud.google.com/about/locations (29/09/2020),,
gcp,us-west4,US-NV,Las Vegas,Las Vegas,https://cloud.google.com/about/locations (29/09/2020),,
gcp,us-central1,US-IA,,Iowa,https://cloud.google.com/about/locations (29/09/2020),1.11,https://www.google.co.uk/about/datacenters/efficiency/ (29/09/2020)
gcp,us-east1,US-SC,,South Carolina,https://cloud.google.com/about/locations (29/09/2020),1.11,https://www.google.co.uk/about/datacenters/efficiency/ (29/09/2020)
gcp,us-east4,US-VA,North Virginia,North Virginia,https://cloud.google.com/about/locations (29/09/2020),,
gcp,northamerica-northeast1,CA-QC,Montréal,Montréal,https://cloud.google.com/about/locations (29/09/2020),,
gcp,southamerica-east1,BR,Sao Paulo,Sao Paulo,https://cloud.google.com/about/locations (29/09/2020),,
gcp,europe-west1,BE,,Belgium,https://cloud.google.com/about/locations (29/09/2020),1.08,https://www.google.co.uk/about/datacenters/efficiency/ (29/09/2020)
gcp,europe-west2,GB,London,London,https://cloud.google.com/about/locations (29/09/2020),,
gcp,europe-west3,DE,Frankfurt,Frankfurt,https://cloud.google.com/about/locations (29/09/2020),,
gcp,europe-west4,NL,,Netherlands,https://cloud.google.com/about/locations (29/09/2020),,
gcp,europe-west6,CH,,Zurich,https://cloud.google.com/about/locations (29/09/2020),,
gcp,europe-north1,FI,,Finland,https://cloud.google.com/about/locations (29/09/2020),1.09,https://www.google.co.uk/about/datacenters/efficiency/ (29/09/2020)
gcp,asia-south1,IN,Mumbai,Mumbai,https://cloud.google.com/about/locations (29/09/2020),,
gcp,asia-southeast1,SG,,Singapore,https://cloud.google.com/about/locations (29/09/2020),1.15,https://www.google.co.uk/about/datacenters/efficiency/ (29/09/2020)
gcp,asia-southeast2,ID,,Jakarta,https://cloud.google.com/about/locations (29/09/2020),,
gcp,asia-east2,CN-HK,,Hong Kong,https://cloud.google.com/about/locations (29/09/2020),,
gcp,asia-east1,TW,,Taiwan,https://cloud.google.com/about/locations (29/09/2020),1.13,https://www.google.co.uk/about/datacenters/efficiency/ (29/09/2020)
gcp,asia-northeast1,JP,Tokyo,Tokyo,https://cloud.google.com/about/locations (29/09/2020),,
gcp,asia-northeast2,JP,Osaka,Osaka,https://cloud.google.com/about/locations (29/09/2020),,
gcp,asia-northeast3,KR,Seoul,Seoul,https://cloud.google.com/about/locations (29/09/2020),,
gcp,australia-southeast1,AU-NSW,,Sydney,https://cloud.google.com/about/locations (29/09/2020),,
azure,South Africa North,ZA,Johannesburg,Johannesburg,https://azure.microsoft.com/en-gb/global-infrastructure/geographies/#geographies (29/09/2020),,
azure,South Africa West,ZA,Cape Town,Cape Town,https://azure.microsoft.com/en-gb/global-infrastructure/geographies/#geographies (29/09/2020),,
azure,East Asia,CN-HK,,Hong Kong,https://azure.microsoft.com/en-gb/global-infrastructure/geographies/#geographies (29/09/2020),,
azure,Southeast Asia,SG,,Singapore,https://azure.microsoft.com/en-gb/global-infrastructure/geographies/#geographies (29/09/2020),,
azure,Australia Central,AU-ACT,Canberra,Canberra,https://azure.microsoft.com/en-gb/global-infrastructure/geographies/#geographies (29/09/2020),,
azure,Australia Central 2,AU-ACT,Canberra,Canberra,https://azure.microsoft.com/en-gb/global-infrastructure/geographies/#geographies (29/09/2020),,
azure,Australia East,AU-NSW,,New South Wales,https://azure.microsoft.com/en-gb/global-infrastructure/geographies/#geographies (29/09/2020),,
azure,Australia Southeast,AU-VIC,,Victoria,https://azure.microsoft.com/en-gb/global-infrastructure/geographies/#geographies (29/09/2020),,
azure,Brazil South,BR,Sao Paulo,Sao Paulo,https://azure.microsoft.com/en-gb/global-infrastructure/geographies/#geographies (29/09/2020),,
azure,Canada Central,CA-ON,Toronto,Toronto,https://azure.microsoft.com/en-gb/global-infrastructure/geographies/#geographies (29/09/2020),,
azure,Canada East,CA-QC,Quebec City,Quebec City,https://azure.microsoft.com/en-gb/global-infrastructure/geographies/#geographies (29/09/2020),,
azure,China East,CN,Shanghai,Shanghai,https://azure.microsoft.com/en-gb/global-infrastructure/geographies/#geographies (29/09/2020),,
